 date          ar1_mean
1999-11-01 -4.972032e-04
1999-11-02  7.097091e-04
1999-11-03  5.563654e-04
1999-11-04  8.628366e-04
1999-11-05  7.358062e-04
1999-11-08  7.103692e-04
1999-11-09  1.303960e-03
1999-11-10  1.079672e-03
1999-11-11  1.377397e-03
1999-11-12 -4.515128e-04
1999-11-15  8.176493e-04
1999-11-16  1.560219e-03
1999-11-17  4.973141e-04
1999-11-18  1.634241e-03
1999-11-19  6.609289e-04
1999-11-22  1.602608e-04
1999-11-23 -1.042568e-03
1999-11-24  7.120185e-04
1999-11-26 -2.367308e-04
1999-11-29  8.650030e-04
1999-11-30  1.021991e-03
1999-12-01  2.729557e-04
1999-12-02 -2.556140e-04
1999-12-03 -2.599746e-05
1999-12-06  1.098232e-04
1999-12-07  9.034748e-04
1999-12-08  1.598520e-03
1999-12-09  1.141150e-03
1999-12-10  2.211384e-04
1999-12-13  1.746341e-04
1999-12-14 -4.741678e-04
1999-12-15 -1.737483e-04
1999-12-16 -3.101305e-03
1999-12-17 -1.196933e-03
1999-12-20  1.136062e-04
1999-12-21  1.453058e-03
1999-12-22 -4.145391e-04
1999-12-23  8.264193e-05
1999-12-27  6.733147e-04
1999-12-28  8.997286e-05
1999-12-29  1.148714e-03
1999-12-30  4.923727e-04
1999-12-31  7.332906e-04
2000-01-03  9.142706e-04
2000-01-04  6.938275e-04
2000-01-05  1.909989e-03
2000-01-06  2.345554e-04
2000-01-07  1.899318e-03
2000-01-10  1.391677e-04
2000-01-11  3.574892e-04
2000-01-12  1.601266e-03
2000-01-13  1.864284e-03
2000-01-14 -8.134655e-05
2000-01-18 -9.226881e-04
2000-01-19 -3.981433e-04
2000-01-20  3.357938e-03
2000-01-21  9.863860e-04
2000-01-24  1.435459e-03
2000-01-25  1.543932e-03
2000-01-26  4.980145e-05
2000-01-27  1.896921e-03
2000-01-28  8.708508e-04
2000-01-31  8.244891e-04
2000-02-01  7.774026e-04
2000-02-02 -1.322021e-03
2000-02-03  1.413415e-03
2000-02-04 -4.214062e-04
2000-02-07 -4.384062e-04
2000-02-08  6.109593e-04
2000-02-09 -5.411978e-04
2000-02-10  2.674586e-03
2000-02-11 -9.380646e-05
2000-02-14  2.794989e-03
2000-02-15  7.512941e-04
2000-02-16  1.036257e-03
2000-02-17  9.926499e-04
2000-02-18 -1.412738e-04
2000-02-22  2.364200e-03
2000-02-23  1.130153e-03
2000-02-24  4.568299e-04
2000-02-25  4.325873e-04
2000-02-28  2.004469e-03
2000-02-29  5.296166e-04
2000-03-01  1.536191e-03
2000-03-02  2.513530e-05
2000-03-03 -4.334792e-04
2000-03-06 -4.801285e-04
2000-03-07  2.795904e-03
2000-03-08 -3.053634e-04
2000-03-09 -4.606785e-04
2000-03-10 -1.122108e-03
2000-03-13  2.551222e-04
2000-03-14  1.755869e-03
2000-03-15  1.742012e-03
2000-03-16  5.337810e-04
2000-03-17  6.331150e-04
2000-03-20 -9.521705e-04
2000-03-21  1.393863e-03
2000-03-22 -1.453366e-03
2000-03-23  4.491708e-04
2000-03-24 -2.524440e-03
2000-03-27  6.964480e-04
2000-03-28  3.213709e-03
2000-03-29  5.423164e-04
2000-03-30 -4.087106e-04
2000-03-31  1.977571e-03
2000-04-03 -4.181269e-04
2000-04-04  6.102903e-03
2000-04-05  1.594967e-03
2000-04-06  1.566779e-03
2000-04-07  7.972168e-04
2000-04-10 -7.129380e-04
2000-04-11  1.906369e-03
2000-04-12  1.593855e-03
2000-04-13  2.661118e-03
2000-04-14  6.926431e-04
2000-04-17  3.077553e-03
2000-04-18 -2.592890e-04
2000-04-19 -1.702109e-03
2000-04-20  1.512857e-03
2000-04-24  5.130121e-04
2000-04-25  6.528964e-03
2000-04-26 -9.270749e-04
2000-04-27  1.382281e-03
2000-04-28 -3.744087e-04
2000-05-01  6.669604e-04
2000-05-02 -1.365227e-03
2000-05-03  2.466767e-03
2000-05-04  2.612202e-04
2000-05-05  7.000819e-04
2000-05-08  2.641781e-04
2000-05-09  1.330627e-03
2000-05-10  1.716009e-03
2000-05-11  1.538895e-03
2000-05-12 -3.306025e-04
2000-05-15  1.110311e-04
2000-05-16  3.241296e-04
2000-05-17  5.650078e-04
2000-05-18  1.618879e-03
2000-05-19  1.470772e-03
2000-05-22  1.275612e-03
2000-05-23  1.141458e-03
2000-05-24  1.222000e-03
2000-05-25 -7.876341e-04
2000-05-26  2.975299e-03
2000-05-30  6.715317e-04
2000-05-31 -5.589163e-04
2000-06-01  1.117710e-03
2000-06-02 -5.752569e-04
2000-06-05 -3.914515e-04
2000-06-06  3.124933e-04
2000-06-07 -9.212584e-04
2000-06-08  1.580721e-04
2000-06-09  1.537895e-03
2000-06-12  6.331150e-04
2000-06-13  1.697407e-03
2000-06-14  6.787957e-05
2000-06-15 -8.287405e-04
2000-06-16 -3.721814e-04
2000-06-19  5.351896e-04
2000-06-20  4.708797e-05
2000-06-21 -8.111771e-06
2000-06-22 -2.267216e-03
2000-06-23  1.013728e-03
2000-06-26  1.668304e-03
2000-06-27 -2.487695e-04
2000-06-28  9.600097e-04
2000-06-29  5.731529e-04
2000-06-30  1.471106e-03
2000-07-03 -7.441867e-04
2000-07-05  6.331150e-04
2000-07-06  1.341855e-03
2000-07-07 -5.405905e-04
2000-07-10  1.369113e-04
2000-07-11  1.814334e-03
2000-07-12  7.818363e-04
2000-07-13  6.582195e-05
2000-07-14  8.095965e-04
2000-07-17  1.105973e-03
2000-07-18  9.922602e-04
2000-07-19  4.820373e-04
2000-07-20  3.221277e-03
2000-07-21 -2.391786e-04
2000-07-24  1.896251e-03
2000-07-25  1.547875e-03
2000-07-26  1.470133e-03
2000-07-27  1.283643e-03
2000-07-28 -2.378356e-04
2000-07-31  4.628373e-04
2000-08-01  5.653088e-04
2000-08-02  1.242259e-03
2000-08-03  2.547693e-04
2000-08-04  1.563662e-04
2000-08-07  1.238433e-03
2000-08-08  1.546556e-04
2000-08-09 -1.594325e-03
2000-08-10  5.693638e-04
2000-08-11  1.460367e-03
2000-08-14  7.306948e-04
2000-08-15  7.635720e-04
2000-08-16  9.276529e-04
2000-08-17  9.629636e-04
2000-08-18  3.336391e-04
2000-08-21  9.302369e-04
2000-08-22  8.327412e-04
2000-08-23  2.986298e-04
2000-08-24  8.983601e-04
2000-08-25  4.327658e-04
2000-08-28  8.988306e-04
2000-08-29  2.651665e-04
2000-08-30  8.318810e-04
2000-08-31  1.132671e-03
2000-09-01  7.343451e-04
2000-09-05  4.300829e-04
2000-09-06  6.667722e-04
2000-09-07  1.003715e-03
2000-09-08  2.928840e-04
2000-09-11  1.037722e-03
2000-09-12  9.058057e-04
2000-09-13  1.010758e-03
2000-09-14  5.637627e-04
2000-09-15  1.983087e-03
2000-09-18  1.566437e-03
2000-09-19  1.332417e-03
2000-09-20 -5.668590e-04
2000-09-21  1.069266e-03
2000-09-22  6.698793e-04
2000-09-25  1.185197e-03
2000-09-26  1.828344e-03
2000-09-27 -2.540083e-04
2000-09-28  1.876753e-03
2000-09-29  2.044568e-04
2000-10-02  1.249627e-03
2000-10-03  1.377344e-03
2000-10-04  2.271349e-03
2000-10-05  1.384921e-03
2000-10-06  6.757347e-04
2000-10-09  5.051417e-04
2000-10-10  1.568515e-03
2000-10-11  3.715115e-04
2000-10-12 -1.895340e-04
2000-10-13  1.565393e-03
2000-10-16  1.067569e-03
2000-10-17  3.006576e-03
2000-10-18  5.861813e-04
2000-10-19 -3.504864e-04
2000-10-20 -6.762390e-03
2000-10-23 -1.390469e-03
2000-10-24  2.408920e-03
2000-10-25  1.013380e-03
2000-10-26  7.867748e-04
2000-10-27 -1.334006e-03
2000-10-30 -1.273338e-03
2000-10-31 -1.347323e-04
2000-11-01  7.357313e-04
2000-11-02  2.215145e-04
2000-11-03  2.598668e-04
2000-11-06  1.741900e-03
2000-11-07 -5.917723e-05
2000-11-08  8.923000e-05
2000-11-09  1.202805e-03
2000-11-10 -1.494166e-04
2000-11-13  2.499733e-03
2000-11-14  1.159095e-03
2000-11-15 -7.181338e-04
2000-11-16 -5.351367e-05
2000-11-17  1.240055e-03
2000-11-20  5.645726e-04
2000-11-21  1.659350e-03
2000-11-22  3.166441e-04
2000-11-24  3.541566e-04
2000-11-27 -3.014900e-04
2000-11-28  2.277705e-04
2000-11-29  2.604964e-03
2000-11-30  1.726195e-03
2000-12-01  5.099302e-03
2000-12-04  1.127213e-03
2000-12-05  7.582926e-04
2000-12-06 -1.669179e-03
2000-12-07  2.645395e-03
2000-12-08  3.008582e-03
2000-12-11 -3.007320e-04
2000-12-12 -1.883954e-03
2000-12-13  4.296634e-04
2000-12-14  1.361611e-03
2000-12-15  1.788537e-03
2000-12-18  4.932345e-03
2000-12-19  1.689778e-03
2000-12-20  3.004824e-03
2000-12-21  3.427216e-03
2000-12-22 -1.131617e-03
2000-12-26 -1.977485e-03
2000-12-27  2.770016e-04
2000-12-28  9.859047e-04
2000-12-29  2.159330e-03
2001-01-02  1.640393e-03
2001-01-03  6.331150e-04
2001-01-04 -3.342885e-03
2001-01-05  2.388483e-04
2001-01-08  9.660944e-05
2001-01-09  7.774037e-04
2001-01-10 -1.587532e-03
2001-01-11 -1.420265e-04
2001-01-12 -8.860174e-04
2001-01-16  1.664008e-03
2001-01-17  1.295486e-03
2001-01-18  3.634457e-04
2001-01-19 -1.196599e-03
2001-01-22 -3.112747e-03
2001-01-23  1.175309e-03
2001-01-24  3.580745e-04
2001-01-25 -8.492215e-04
2001-01-26  1.308766e-03
2001-01-29 -7.045670e-04
2001-01-30  3.378147e-04
2001-01-31  1.292415e-03
2001-02-01  2.012369e-03
2001-02-02 -1.793570e-04
2001-02-05  1.579987e-03
2001-02-06 -6.614924e-05
2001-02-07  2.516889e-04
2001-02-08 -6.507688e-04
2001-02-09  2.057416e-03
2001-02-12  2.530677e-03
2001-02-13  8.728528e-04
2001-02-14  9.950294e-04
2001-02-15  5.112952e-04
2001-02-16  3.498524e-04
2001-02-20  1.597160e-03
2001-02-21  1.581187e-03
2001-02-22  3.794365e-04
2001-02-23  1.347088e-03
2001-02-26 -4.370769e-04
2001-02-27 -1.240166e-03
2001-02-28  7.520861e-04
2001-03-01  8.718364e-04
2001-03-02  4.029359e-04
2001-03-05  2.334482e-03
2001-03-06  1.330060e-04
2001-03-07 -6.830548e-04
2001-03-08 -1.618271e-04
2001-03-09  1.528461e-03
2001-03-12  2.267892e-03
2001-03-13  3.800417e-03
2001-03-14 -1.004396e-03
2001-03-15  7.639043e-04
2001-03-16  8.518534e-04
2001-03-19  1.705639e-05
2001-03-20  8.063275e-04
2001-03-21  1.764053e-03
2001-03-22  2.516346e-03
2001-03-23 -2.339867e-03
2001-03-26 -1.160598e-03
2001-03-27  9.672559e-04
2001-03-28 -8.417732e-04
2001-03-29  2.377086e-03
2001-03-30  7.606565e-04
2001-04-02  1.102406e-03
2001-04-03 -1.444593e-04
2001-04-04  2.283906e-03
2001-04-05  1.651133e-03
2001-04-06 -2.869352e-03
