 date      constmean_vol
1999-11-08 0.018087947
1999-11-09 0.018398693
1999-11-10 0.018242189
1999-11-11 0.018721184
1999-11-12 0.018899388
1999-11-15 0.018415983
1999-11-16 0.019393910
1999-11-17 0.018827893
1999-11-18 0.019991153
1999-11-19 0.019400247
1999-11-22 0.018954312
1999-11-23 0.020096116
1999-11-24 0.019514031
1999-11-26 0.019384237
1999-11-29 0.018918245
1999-11-30 0.018647937
1999-12-01 0.018175218
1999-12-02 0.018146004
1999-12-03 0.017889098
1999-12-06 0.017540027
1999-12-07 0.017188975
1999-12-08 0.018435580
1999-12-09 0.018382167
1999-12-10 0.017945071
1999-12-13 0.017552123
1999-12-14 0.017850661
1999-12-15 0.017750865
1999-12-16 0.025042023
1999-12-17 0.025834760
1999-12-20 0.025156656
1999-12-21 0.025280253
1999-12-22 0.025011421
1999-12-23 0.024380711
1999-12-27 0.023639576
1999-12-28 0.023059548
1999-12-29 0.022761078
1999-12-30 0.022077643
1999-12-31 0.021432331
2000-01-03 0.020926036
2000-01-04 0.020309200
2000-01-05 0.022228131
2000-01-06 0.021633796
2000-01-07 0.023331922
2000-01-10 0.022738587
2000-01-11 0.022083071
2000-01-12 0.022807347
2000-01-13 0.024241033
2000-01-14 0.023741986
2000-01-18 0.024209589
2000-01-19 0.023982476
2000-01-20 0.031839307
2000-01-21 0.030985021
2000-01-24 0.030718590
2000-01-25 0.030662631
2000-01-26 0.029830669
2000-01-27 0.030642786
2000-01-28 0.029756675
2000-01-31 0.028878487
2000-02-01 0.028011200
2000-02-02 0.028742603
2000-02-03 0.028565282
2000-02-04 0.028134170
2000-02-07 0.027739708
2000-02-08 0.026879470
2000-02-09 0.026651065
2000-02-10 0.030563999
2000-02-11 0.029808814
2000-02-14 0.033662415
2000-02-15 0.032623071
2000-02-16 0.031778692
2000-02-17 0.030931515
2000-02-18 0.030189111
2000-02-22 0.032375550
2000-02-23 0.031628906
2000-02-24 0.030647433
2000-02-25 0.029702298
2000-02-28 0.030820379
2000-02-29 0.029859333
2000-03-01 0.029842198
2000-03-02 0.029052818
2000-03-03 0.028608290
2000-03-06 0.028227993
2000-03-07 0.032365172
2000-03-08 0.031668675
2000-03-09 0.031121341
2000-03-10 0.031317486
2000-03-13 0.030386976
2000-03-14 0.030803310
2000-03-15 0.031156372
2000-03-16 0.030183804
2000-03-17 0.029242015
2000-03-20 0.029345359
2000-03-21 0.029100074
2000-03-22 0.029948954
2000-03-23 0.029025187
2000-03-24 0.032035409
2000-03-27 0.031038663
2000-03-28 0.036453923
2000-03-29 0.035304346
2000-03-30 0.034553211
2000-03-31 0.035172324
2000-04-03 0.034433621
2000-04-04 0.054800563
2000-04-05 0.053616015
2000-04-06 0.052449973
2000-04-07 0.050794120
2000-04-10 0.049595663
2000-04-11 0.049096007
2000-04-12 0.048162145
2000-04-13 0.049371374
2000-04-14 0.047799253
2000-04-17 0.050228019
2000-04-18 0.048809308
2000-04-19 0.048587932
2000-04-20 0.047576736
2000-04-24 0.046061488
2000-04-25 0.064685586
2000-04-26 0.063059105
2000-04-27 0.061340322
2000-04-28 0.059567672
2000-05-01 0.057659316
2000-05-02 0.056643028
2000-05-03 0.056764283
2000-05-04 0.054972310
2000-05-05 0.053217112
2000-05-08 0.051542428
2000-05-09 0.050219596
2000-05-10 0.049397104
2000-05-11 0.048381535
2000-05-12 0.047063298
2000-05-15 0.045627927
2000-05-16 0.044196408
2000-05-17 0.042790323
2000-05-18 0.042192433
2000-05-19 0.041415881
2000-05-22 0.040445251
2000-05-23 0.039387301
2000-05-24 0.038445389
2000-05-25 0.037851933
2000-05-26 0.041159818
2000-05-30 0.039856101
2000-05-31 0.039014472
2000-06-01 0.037991615
2000-06-02 0.037244415
2000-06-05 0.036398859
2000-06-06 0.035279661
2000-06-07 0.034980201
2000-06-08 0.033950172
2000-06-09 0.033692272
2000-06-12 0.032633323
2000-06-13 0.032759954
2000-06-14 0.031842417
2000-06-15 0.031638651
2000-06-16 0.031022640
2000-06-19 0.030054467
2000-06-20 0.029246657
2000-06-21 0.028496941
2000-06-22 0.030996177
2000-06-23 0.030196062
2000-06-26 0.030428930
2000-06-27 0.029776757
2000-06-28 0.028980629
2000-06-29 0.028079226
2000-06-30 0.028048133
2000-07-03 0.027974483
2000-07-05 0.027106939
2000-07-06 0.026899013
2000-07-07 0.026668893
2000-07-10 0.025948454
2000-07-11 0.026894768
2000-07-12 0.026098416
2000-07-13 0.025433638
2000-07-14 0.024701866
2000-07-17 0.024263996
2000-07-18 0.023715192
2000-07-19 0.023000077
2000-07-20 0.030407638
2000-07-21 0.029749787
2000-07-24 0.030567306
2000-07-25 0.030528317
2000-07-26 0.030347804
2000-07-27 0.029879396
2000-07-28 0.029243404
2000-07-31 0.028341777
2000-08-01 0.027462146
2000-08-02 0.027077556
2000-08-03 0.026297290
2000-08-04 0.025582433
2000-08-07 0.025288963
2000-08-08 0.024612886
2000-08-09 0.026185506
2000-08-10 0.025378564
2000-08-11 0.025502292
2000-08-14 0.024736110
2000-08-15 0.024008294
2000-08-16 0.023409844
2000-08-17 0.022867734
2000-08-18 0.022214398
2000-08-21 0.021690660
2000-08-22 0.021110170
2000-08-23 0.020532906
2000-08-24 0.020049118
2000-08-25 0.019471432
2000-08-28 0.019032190
2000-08-29 0.018547850
2000-08-30 0.018088813
2000-08-31 0.018041210
2000-09-01 0.017542365
2000-09-05 0.017056579
2000-09-06 0.016571411
2000-09-07 0.016396275
2000-09-08 0.016004446
2000-09-11 0.015915217
2000-09-12 0.015641273
2000-09-13 0.015528483
2000-09-14 0.015094387
2000-09-15 0.018261055
2000-09-18 0.019275533
2000-09-19 0.019559765
2000-09-20 0.019835125
2000-09-21 0.019585593
2000-09-22 0.019010593
2000-09-25 0.019003106
2000-09-26 0.020811756
2000-09-27 0.020626606
2000-09-28 0.022381021
2000-09-29 0.021793824
2000-10-02 0.021733821
2000-10-03 0.021935634
2000-10-04 0.025009661
2000-10-05 0.025005578
2000-10-06 0.024243434
2000-10-09 0.023507343
2000-10-10 0.024020255
2000-10-11 0.023315457
2000-10-12 0.022941954
2000-10-13 0.023494859
2000-10-16 0.023064641
2000-10-17 0.029326211
2000-10-18 0.028412861
2000-10-19 0.027928736
2000-10-20 0.045107845
2000-10-23 0.044755834
2000-10-24 0.045610608
2000-10-25 0.044272640
2000-10-26 0.042886248
2000-10-27 0.042599377
2000-10-30 0.042263232
2000-10-31 0.041082367
2000-11-01 0.039790653
2000-11-02 0.038576115
2000-11-03 0.037394092
2000-11-06 0.037303619
2000-11-07 0.036272648
2000-11-08 0.035219975
2000-11-09 0.034430828
2000-11-10 0.033553507
2000-11-13 0.035776073
2000-11-14 0.034918791
2000-11-15 0.034438004
2000-11-16 0.033511636
2000-11-17 0.032838920
2000-11-20 0.031808668
2000-11-21 0.031911757
2000-11-22 0.030945030
2000-11-24 0.030003406
2000-11-27 0.029407719
2000-11-28 0.028552838
2000-11-29 0.031855086
2000-11-30 0.032096696
2000-12-01 0.047219162
2000-12-04 0.045896029
2000-12-05 0.044448958
2000-12-06 0.044456902
2000-12-07 0.045958458
2000-12-08 0.048375824
2000-12-11 0.047043717
2000-12-12 0.047151536
2000-12-13 0.045656343
2000-12-14 0.044600141
2000-12-15 0.044176314
2000-12-18 0.054773467
2000-12-19 0.053704411
2000-12-20 0.055334648
2000-12-21 0.058020134
2000-12-22 0.056804112
2000-12-26 0.056424431
2000-12-27 0.054641364
2000-12-28 0.052975778
2000-12-29 0.052727191
2001-01-02 0.051688138
2001-01-03 0.050035985
2001-01-04 0.052159683
2001-01-05 0.050524483
2001-01-08 0.048974701
2001-01-09 0.047429598
2001-01-10 0.047160133
2001-01-11 0.045804356
2001-01-12 0.044945607
2001-01-16 0.044306783
2001-01-17 0.043238157
2001-01-18 0.041880455
2001-01-19 0.041503348
2001-01-22 0.044124421
2001-01-23 0.042953707
2001-01-24 0.041606255
2001-01-25 0.040913412
2001-01-26 0.039998981
2001-01-29 0.039261698
2001-01-30 0.038041050
2001-01-31 0.037231131
2001-02-01 0.037724340
2001-02-02 0.036735030
2001-02-05 0.036393540
2001-02-06 0.035399576
2001-02-07 0.034328296
2001-02-08 0.033815825
2001-02-09 0.034698308
2001-02-12 0.036884639
2001-02-13 0.035779673
2001-02-14 0.034784520
2001-02-15 0.033692243
2001-02-16 0.032657679
2001-02-20 0.032583309
2001-02-21 0.032483364
2001-02-22 0.031484456
2001-02-23 0.031051457
2001-02-26 0.030513813
2001-02-27 0.030916961
2001-02-28 0.029971115
2001-03-01 0.029109646
2001-03-02 0.028221574
2001-03-05 0.030562882
2001-03-06 0.029699860
2001-03-07 0.029461913
2001-03-08 0.028792872
2001-03-09 0.028828729
2001-03-12 0.030861106
2001-03-13 0.039136253
2001-03-14 0.038711763
2001-03-15 0.037505631
2001-03-16 0.036369987
2001-03-19 0.035341111
2001-03-20 0.034262052
2001-03-21 0.034417913
2001-03-22 0.036590895
2001-03-23 0.038264641
2001-03-26 0.038053948
2001-03-27 0.036958060
2001-03-28 0.036489129
2001-03-29 0.038004576
2001-03-30 0.036821352
2001-04-02 0.035870271
2001-04-03 0.034934357
2001-04-04 0.036335627
2001-04-05 0.036140407
2001-04-06 0.038923953
2001-04-09 0.037822244
2001-04-10 0.036753202
2001-04-11 0.036497538
2001-04-12 0.035359215
2001-04-16 0.034852594
2001-04-17 0.034446698
2001-04-18 0.033421356
2001-04-19 0.034446201
2001-04-20 0.034144324
2001-04-23 0.033164102
2001-04-24 0.032305226
2001-04-25 0.031460320
2001-04-26 0.031012925
2001-04-27 0.030153894
2001-04-30 0.030532904
2001-05-01 0.029623457
2001-05-02 0.029426086
2001-05-03 0.028574345
2001-05-04 0.028218757
2001-05-07 0.027967880
2001-05-08 0.027143427
2001-05-09 0.026355054
2001-05-10 0.026503228
2001-05-11 0.025753550
2001-05-14 0.025111038
2001-05-15 0.024538048
2001-05-16 0.023882401
2001-05-17 0.023266985
2001-05-18 0.022996213
2001-05-21 0.022303510
2001-05-22 0.021702236
2001-05-23 0.021420053
2001-05-24 0.020960102
2001-05-25 0.020998292
2001-05-29 0.020677029
2001-05-30 0.020224163
2001-05-31 0.020266262
2001-06-01 0.019662882
2001-06-04 0.019312258
2001-06-05 0.018770133
2001-06-06 0.018800948
2001-06-07 0.018285157
2001-06-08 0.018047610
2001-06-11 0.017655001
2001-06-12 0.017737457
2001-06-13 0.017225386
2001-06-14 0.017755383
2001-06-15 0.018904613
2001-06-18 0.018779306
2001-06-19 0.018953035
2001-06-20 0.018427585
2001-06-21 0.018753291
2001-06-22 0.018231067
2001-06-25 0.018263210
2001-06-26 0.017729208
2001-06-27 0.017537805
2001-06-28 0.017215690
2001-06-29 0.017202194
2001-07-02 0.016714795
2001-07-03 0.019078615
2001-07-05 0.018530018
2001-07-06 0.019895393
2001-07-09 0.022159940
2001-07-10 0.021569738
2001-07-11 0.021680658
2001-07-12 0.021781753
2001-07-13 0.025385590
2001-07-16 0.024637617
2001-07-17 0.023897653
2001-07-18 0.023219645
2001-07-19 0.023149004
2001-07-20 0.023023921
2001-07-23 0.026436072
2001-07-24 0.027228981
2001-07-25 0.026632510
2001-07-26 0.025998074
2001-07-27 0.025532578
2001-07-30 0.025290302
2001-07-31 0.024526670
2001-08-01 0.023795676
2001-08-02 0.023078995
2001-08-03 0.022529495
2001-08-06 0.022008475
2001-08-07 0.021641736
2001-08-08 0.020995371
2001-08-09 0.021502855
2001-08-10 0.020857644
2001-08-13 0.020276707
2001-08-14 0.019686498
2001-08-15 0.019840721
2001-08-16 0.020509366
2001-08-17 0.020303326
2001-08-20 0.023529131
2001-08-21 0.022931519
2001-08-22 0.024118544
2001-08-23 0.023393817
2001-08-24 0.023977759
2001-08-27 0.024947544
2001-08-28 0.024190932
2001-08-29 0.024689343
2001-08-30 0.024072711
2001-08-31 0.028650824
2001-09-04 0.027761003
2001-09-05 0.027391248
2001-09-06 0.027066151
2001-09-07 0.027760853
2001-09-10 0.027125741
2001-09-17 0.027246238
2001-09-18 0.035985858
2001-09-19 0.035181811
2001-09-20 0.034176530
2001-09-21 0.037422358
2001-09-24 0.036794919
2001-09-25 0.036620406
2001-09-26 0.035719408
2001-09-27 0.035141948
2001-09-28 0.034094589
2001-10-01 0.033309575
2001-10-02 0.032333091
2001-10-03 0.031625030
2001-10-04 0.032542436
2001-10-05 0.031526598
2001-10-08 0.030811235
2001-10-09 0.029861874
2001-10-10 0.034138386
2001-10-11 0.033210013
2001-10-12 0.032270553
2001-10-15 0.031258578
2001-10-16 0.030758263
2001-10-17 0.029818141
2001-10-18 0.031504713
2001-10-19 0.030602179
2001-10-22 0.029868140
2001-10-23 0.029797098
2001-10-24 0.028876649
2001-10-25 0.028099918
2001-10-26 0.027468408
2001-10-29 0.026685256
2001-10-30 0.028722052
2001-10-31 0.028113951
2001-11-01 0.027517606
2001-11-02 0.029090363
2001-11-05 0.028279203
2001-11-06 0.027951899
2001-11-07 0.027424336
2001-11-08 0.026704492
2001-11-09 0.025881955
2001-11-12 0.025177087
2001-11-13 0.024451726
2001-11-14 0.024407463
2001-11-15 0.025234993
2001-11-16 0.024462232
2001-11-19 0.023785540
2001-11-20 0.023155900
2001-11-21 0.023070270
2001-11-23 0.023254767
2001-11-26 0.022618164
2001-11-27 0.021960554
2001-11-28 0.022300062
2001-11-29 0.022107551
2001-11-30 0.022235680
2001-12-03 0.021782856
2001-12-04 0.021178881
2001-12-05 0.020822257
2001-12-06 0.021007647
2001-12-07 0.020424042
2001-12-10 0.020166617
2001-12-11 0.019889918
2001-12-12 0.019307899
2001-12-13 0.018806655
2001-12-14 0.019764361
2001-12-17 0.019434995
2001-12-18 0.019302742
2001-12-19 0.018743640
2001-12-20 0.018198614
2001-12-21 0.021321647
2001-12-24 0.020781661
2001-12-26 0.020206051
2001-12-27 0.019629793
2001-12-28 0.019050653
2001-12-31 0.018488816
2002-01-02 0.019383451
2002-01-03 0.018925926
2002-01-04 0.019302434
2002-01-07 0.018800342
2002-01-08 0.018322233
2002-01-09 0.017909559
2002-01-10 0.017656940
2002-01-11 0.017203199
2002-01-14 0.016987338
2002-01-15 0.016517594
2002-01-16 0.016289390
2002-01-17 0.017474450
2002-01-18 0.017780637
2002-01-22 0.023734045
2002-01-23 0.024234117
2002-01-24 0.023755468
2002-01-25 0.023153529
2002-01-28 0.022783087
2002-01-29 0.022091525
2002-01-30 0.022605716
2002-01-31 0.021968759
2002-02-01 0.021442046
2002-02-04 0.021415854
2002-02-05 0.022095963
2002-02-06 0.021427903
2002-02-07 0.021136721
2002-02-08 0.020742918
2002-02-11 0.020278609
2002-02-12 0.019719950
2002-02-13 0.019783801
2002-02-14 0.019850868
2002-02-15 0.019279849
2002-02-19 0.020052976
2002-02-20 0.020557645
2002-02-21 0.020157458
2002-02-22 0.021708504
2002-02-25 0.021059495
2002-02-26 0.020702697
2002-02-27 0.020286256
2002-02-28 0.019706220
2002-03-01 0.019126130
2002-03-04 0.020850193
2002-03-05 0.021014911
2002-03-06 0.020420738
2002-03-07 0.019867498
2002-03-08 0.019786117
2002-03-11 0.019517657
2002-03-12 0.018966432
2002-03-13 0.020297320
2002-03-14 0.019823860
2002-03-15 0.019736315
2002-03-18 0.019509364
2002-03-19 0.019022044
2002-03-20 0.018461643
2002-03-21 0.020731404
2002-03-22 0.020460339
2002-03-25 0.020379273
2002-03-26 0.020726187
2002-03-27 0.020127416
2002-03-28 0.019553992
2002-04-01 0.019151037
2002-04-02 0.018585720
2002-04-03 0.023813646
2002-04-04 0.023652748
2002-04-05 0.022932942
2002-04-08 0.022473139
2002-04-09 0.022223718
2002-04-10 0.024899445
2002-04-11 0.024590666
2002-04-12 0.025210350
2002-04-15 0.024719933
2002-04-16 0.024006714
2002-04-17 0.024283374
2002-04-18 0.024365931
2002-04-19 0.023671155
2002-04-22 0.023097193
2002-04-23 0.023990560
2002-04-24 0.024864550
2002-04-25 0.024734064
2002-04-26 0.024092048
2002-04-29 0.026537965
2002-04-30 0.025844090
2002-05-01 0.025048016
2002-05-02 0.024333068
2002-05-03 0.025217644
2002-05-06 0.026342640
2002-05-07 0.026192810
2002-05-08 0.025576190
2002-05-09 0.032141231
2002-05-10 0.034866304
2002-05-13 0.035858846
2002-05-14 0.036042638
2002-05-15 0.035718322
2002-05-16 0.034603009
2002-05-17 0.033668933
2002-05-20 0.032621354
2002-05-21 0.033447530
2002-05-22 0.033983601
2002-05-23 0.033323602
2002-05-24 0.032497286
2002-05-28 0.032656909
2002-05-29 0.032100162
2002-05-30 0.031141573
2002-05-31 0.030232437
2002-06-03 0.030953659
2002-06-04 0.031289672
2002-06-05 0.030375241
2002-06-06 0.030053592
2002-06-07 0.029125204
2002-06-10 0.028218890
2002-06-11 0.027493573
2002-06-12 0.026689473
2002-06-13 0.027855361
2002-06-14 0.027959158
2002-06-17 0.027304404
2002-06-18 0.026492161
2002-06-19 0.025690463
2002-06-20 0.026439862
2002-06-21 0.025674195
2002-06-24 0.026911525
2002-06-25 0.026887162
2002-06-26 0.026945323
2002-06-27 0.026418220
2002-06-28 0.025733120
2002-07-01 0.024978849
2002-07-02 0.026736725
2002-07-03 0.026869172
2002-07-05 0.026072099
2002-07-08 0.027413579
2002-07-09 0.028642341
2002-07-10 0.027766375
2002-07-11 0.027489238
2002-07-12 0.026733239
2002-07-15 0.026619929
2002-07-16 0.025802880
2002-07-17 0.025232593
2002-07-18 0.024594545
2002-07-19 0.024423433
2002-07-22 0.025420683
2002-07-23 0.027655143
2002-07-24 0.039138437
2002-07-25 0.040312379
2002-07-26 0.044899922
2002-07-29 0.044785480
2002-07-30 0.044915417
2002-07-31 0.043499313
2002-08-01 0.042125799
2002-08-02 0.043152252
2002-08-05 0.042726945
2002-08-06 0.041478086
2002-08-07 0.040758585
2002-08-08 0.039866253
2002-08-09 0.039238804
2002-08-12 0.038325000
2002-08-13 0.037132432
2002-08-14 0.037040533
2002-08-15 0.037321391
2002-08-16 0.036141689
2002-08-19 0.035008784
2002-08-20 0.034680213
2002-08-21 0.034069074
2002-08-22 0.033286947
2002-08-23 0.032404405
2002-08-26 0.031930009
2002-08-27 0.030941475
2002-08-28 0.030878072
2002-08-29 0.031172944
2002-08-30 0.030514139
2002-09-03 0.030916684
2002-09-04 0.032547346
2002-09-05 0.031855647
2002-09-06 0.034076458
2002-09-09 0.033864781
2002-09-10 0.032964472
2002-09-11 0.032182485
2002-09-12 0.032051964
2002-09-13 0.032322492
2002-09-16 0.031439982
2002-09-17 0.030471794
2002-09-18 0.029698162
2002-09-19 0.028821556
2002-09-20 0.028159570
2002-09-23 0.027300269
2002-09-24 0.030044737
2002-09-25 0.029149108
2002-09-26 0.028447190
2002-09-27 0.027648854
2002-09-30 0.027530312
2002-10-01 0.028548857
2002-10-02 0.029559223
2002-10-03 0.028943328
2002-10-04 0.028575971
2002-10-07 0.028573802
2002-10-08 0.027706221
2002-10-09 0.027119838
2002-10-10 0.027154154
2002-10-11 0.028128676
2002-10-14 0.028970887
2002-10-15 0.028108129
2002-10-16 0.029429256
2002-10-17 0.030539049
2002-10-18 0.029609519
2002-10-21 0.029936792
2002-10-22 0.029248563
2002-10-23 0.028769749
2002-10-24 0.028386788
2002-10-25 0.029721247
2002-10-28 0.029246925
2002-10-29 0.028664556
2002-10-30 0.027774979
2002-10-31 0.027151089
2002-11-01 0.026335488
2002-11-04 0.025677041
2002-11-05 0.027093329
2002-11-06 0.026316597
2002-11-07 0.025525240
2002-11-08 0.025351081
2002-11-11 0.025083797
2002-11-12 0.025277808
2002-11-13 0.024592507
2002-11-14 0.023999656
2002-11-15 0.023870271
2002-11-18 0.023207835
2002-11-19 0.022969926
2002-11-20 0.022937369
2002-11-21 0.022990249
2002-11-22 0.022625670
2002-11-25 0.021967091
2002-11-26 0.021303842
2002-11-27 0.021821775
2002-11-29 0.021488501
2002-12-02 0.020961618
2002-12-03 0.020333179
2002-12-04 0.020416572
2002-12-05 0.019835987
2002-12-06 0.020324693
2002-12-09 0.019720641
2002-12-10 0.021897642
2002-12-11 0.021292683
2002-12-12 0.020760351
2002-12-13 0.020341060
2002-12-16 0.021861052
2002-12-17 0.022285190
2002-12-18 0.021626903
2002-12-19 0.021506168
2002-12-20 0.021011187
2002-12-23 0.020388740
2002-12-24 0.020042938
2002-12-26 0.019481750
2002-12-27 0.019078661
2002-12-30 0.018688353
2002-12-31 0.018194851
2003-01-02 0.018698993
2003-01-03 0.019494966
2003-01-06 0.018917725
2003-01-07 0.018647345
2003-01-08 0.018410126
2003-01-09 0.019809409
2003-01-10 0.019923150
2003-01-13 0.019332126
2003-01-14 0.018815590
2003-01-15 0.018349446
2003-01-16 0.018225178
2003-01-17 0.018405369
2003-01-21 0.027733730
2003-01-22 0.026890020
2003-01-23 0.026143327
2003-01-24 0.025739123
2003-01-27 0.028650741
2003-01-28 0.028085291
2003-01-29 0.027311343
2003-01-30 0.026768990
2003-01-31 0.027872633
2003-02-03 0.027470410
2003-02-04 0.026944902
2003-02-05 0.027258012
2003-02-06 0.026528103
2003-02-07 0.025764955
2003-02-10 0.025566099
2003-02-11 0.024968306
2003-02-12 0.024963204
2003-02-13 0.024197635
2003-02-14 0.023549458
2003-02-18 0.023382471
2003-02-19 0.023474939
2003-02-20 0.023179159
2003-02-21 0.023010076
2003-02-24 0.022606149
2003-02-25 0.023006430
2003-02-26 0.022321749
2003-02-27 0.022861691
2003-02-28 0.022174357
2003-03-03 0.021519569
2003-03-04 0.020987138
2003-03-05 0.021267774
2003-03-06 0.020825017
2003-03-07 0.020337284
2003-03-10 0.019851760
2003-03-11 0.020829742
2003-03-12 0.020318151
2003-03-13 0.020258728
2003-03-14 0.022058111
2003-03-17 0.021431592
2003-03-18 0.022219934
2003-03-19 0.021558080
2003-03-20 0.020992705
2003-03-21 0.020386189
2003-03-24 0.019893179
2003-03-25 0.024199730
2003-03-26 0.023498381
