date        sgarchvol 
1999-11-08 0.019760767
1999-11-09 0.019717373
1999-11-10 0.019431592
1999-11-11 0.019506179
1999-11-12 0.020060278
1999-11-15 0.019595103
1999-11-16 0.019950473
1999-11-17 0.019458273
1999-11-18 0.019957647
1999-11-19 0.019456768
1999-11-22 0.019158203
1999-11-23 0.021166282
1999-11-24 0.020637716
1999-11-26 0.020749154
1999-11-29 0.020282774
1999-11-30 0.019928100
1999-12-01 0.019529583
1999-12-02 0.019737401
1999-12-03 0.019615720
1999-12-06 0.019355892
1999-12-07 0.018954495
1999-12-08 0.019425734
1999-12-09 0.019210345
1999-12-10 0.018872467
1999-12-13 0.018584273
1999-12-14 0.019259766
1999-12-15 0.019358586
1999-12-16 0.029280529
1999-12-17 0.030522119
1999-12-20 0.029869204
1999-12-21 0.029531081
1999-12-22 0.029410608
1999-12-23 0.028814146
1999-12-27 0.028062917
1999-12-28 0.027507305
1999-12-29 0.026988795
1999-12-30 0.026294790
1999-12-31 0.025622572
2000-01-03 0.025026814
2000-01-04 0.024384533
2000-01-05 0.025023884
2000-01-06 0.024479376
2000-01-07 0.025091279
2000-01-10 0.024604006
2000-01-11 0.024015181
2000-01-12 0.024153981
2000-01-13 0.024725186
2000-01-14 0.024441394
2000-01-18 0.025537805
2000-01-19 0.025604640
2000-01-20 0.029965333
2000-01-21 0.029269027
2000-01-24 0.028938038
2000-01-25 0.028742896
2000-01-26 0.028192028
2000-01-27 0.028538859
2000-01-28 0.027838135
2000-01-31 0.027143140
2000-02-01 0.026455811
2000-02-02 0.028276785
2000-02-03 0.027965021
2000-02-04 0.027933089
2000-02-07 0.027925839
2000-02-08 0.027196552
2000-02-09 0.027379382
2000-02-10 0.029443214
2000-02-11 0.028981862
2000-02-14 0.031162188
2000-02-15 0.030355271
2000-02-16 0.029671762
2000-02-17 0.028987530
2000-02-18 0.028587566
2000-02-22 0.029793220
2000-02-23 0.029183413
2000-02-24 0.028433420
2000-02-25 0.027709898
2000-02-28 0.028275238
2000-02-29 0.027540113
2000-03-01 0.027402308
2000-03-02 0.026917678
2000-03-03 0.026958353
2000-03-06 0.027063706
2000-03-07 0.029486575
2000-03-08 0.029237019
2000-03-09 0.029191387
2000-03-10 0.030282513
2000-03-13 0.029563824
2000-03-14 0.029612971
2000-03-15 0.029639963
2000-03-16 0.028866199
2000-03-17 0.028111091
2000-03-20 0.028949322
2000-03-21 0.028589164
2000-03-22 0.030493283
2000-03-23 0.029707648
2000-03-24 0.034557817
2000-03-27 0.033648647
2000-03-28 0.036345040
2000-03-29 0.035384311
2000-03-30 0.034989259
2000-03-31 0.035054804
2000-04-03 0.034683952
2000-04-04 0.047342352
2000-04-05 0.046462238
2000-04-06 0.045591478
2000-04-07 0.044389518
2000-04-10 0.043934093
2000-04-11 0.043476529
2000-04-12 0.042735198
2000-04-13 0.043406401
2000-04-14 0.042252594
2000-04-17 0.043749024
2000-04-18 0.042902454
2000-04-19 0.044024437
